ward,date_time,rainfall_1h,rainfall_3h,precipitation_prob,humidity,temperature,latitude,longitude,source_url
Westlands,2020-01-25 00:00:00,1.47,5.27,0.16,46.7,18.77,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-26 00:00:00,0.18,0.55,0.02,63.28,17.89,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-27 00:00:00,0.24,1.01,0.11,55.06,20.18,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-28 00:00:00,0.82,2.77,0.09,45.42,18.67,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-29 00:00:00,0.15,0.99,0.06,65.67,16.67,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-30 00:00:00,0.02,0.65,0.2,68.64,18.36,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-01-31 00:00:00,0.94,3.71,0.03,41.0,21.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-01 00:00:00,0.53,1.97,0.26,53.46,15.34,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-02 00:00:00,1.14,3.71,0.27,55.48,24.97,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-03 00:00:00,1.3,4.35,0.12,53.26,19.43,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-04 00:00:00,0.5,1.72,0.18,69.8,17.72,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-05 00:00:00,0.72,3.16,0.03,57.48,19.86,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-06 00:00:00,0.5,1.98,0.24,69.41,17.04,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-07 00:00:00,1.68,5.64,0.05,54.6,23.88,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-08 00:00:00,1.36,4.73,0.13,52.01,23.35,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-09 00:00:00,1.0,3.04,0.27,65.18,21.0,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-10 00:00:00,1.36,4.65,0.15,67.1,18.25,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-11 00:00:00,1.82,6.06,0.11,64.44,24.34,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-12 00:00:00,1.74,5.65,0.2,56.77,24.27,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-13 00:00:00,1.5,4.97,0.2,62.15,21.86,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-14 00:00:00,0.01,0.39,0.02,45.08,15.12,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-15 00:00:00,0.65,2.02,0.03,57.37,19.49,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-16 00:00:00,0.83,2.9,0.17,56.72,17.89,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-17 00:00:00,1.02,3.29,0.07,65.27,16.77,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-18 00:00:00,1.55,5.38,0.2,43.51,21.3,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-19 00:00:00,1.4,4.55,0.13,53.67,23.83,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-20 00:00:00,1.63,5.37,0.18,69.02,15.76,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-21 00:00:00,0.56,1.75,0.23,47.68,20.36,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-22 00:00:00,0.27,1.62,0.2,50.33,23.4,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-23 00:00:00,1.25,4.44,0.2,63.84,23.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-24 00:00:00,0.53,2.03,0.13,49.19,21.87,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-25 00:00:00,0.07,0.94,0.04,65.35,15.19,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-26 00:00:00,0.11,0.65,0.1,50.13,22.73,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-27 00:00:00,1.39,4.19,0.15,58.47,19.16,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-28 00:00:00,1.97,6.44,0.14,56.36,19.36,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-02-29 00:00:00,1.93,6.04,0.07,48.24,16.45,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-01 00:00:00,8.06,26.79,0.77,66.53,26.8,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-02 00:00:00,8.03,27.45,0.34,82.93,19.86,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-03 00:00:00,8.39,27.69,0.51,60.45,22.55,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-04 00:00:00,3.44,12.02,0.58,85.99,18.32,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-05 00:00:00,2.82,8.58,0.66,82.88,18.29,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-06 00:00:00,0.84,3.05,0.52,89.94,19.14,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-07 00:00:00,6.06,18.83,0.57,71.35,25.68,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-08 00:00:00,6.89,23.38,0.51,65.47,24.48,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-09 00:00:00,1.62,5.38,0.35,86.44,19.26,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-10 00:00:00,4.13,15.22,0.72,85.01,20.83,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-11 00:00:00,0.42,5.28,0.41,75.59,22.66,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-12 00:00:00,5.53,18.71,0.68,89.94,27.26,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-13 00:00:00,7.6,24.76,0.35,66.21,25.88,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-14 00:00:00,1.06,6.99,0.68,72.68,23.64,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-15 00:00:00,9.76,31.54,0.71,67.0,25.61,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-16 00:00:00,1.61,9.34,0.79,73.5,18.92,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-17 00:00:00,0.99,4.77,0.7,74.22,18.67,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-18 00:00:00,6.27,21.55,0.66,87.94,23.56,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-19 00:00:00,0.4,6.11,0.6,70.06,19.75,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-20 00:00:00,6.11,21.69,0.76,86.0,21.83,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-21 00:00:00,5.4,16.34,0.43,71.53,25.24,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-22 00:00:00,7.64,25.49,0.57,67.75,24.39,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-23 00:00:00,2.96,13.69,0.57,66.12,26.57,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-24 00:00:00,4.85,17.72,0.54,80.4,27.38,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-25 00:00:00,3.82,14.2,0.34,72.67,20.26,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-26 00:00:00,8.33,27.63,0.59,62.63,19.48,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-27 00:00:00,3.7,15.23,0.62,88.24,27.24,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-28 00:00:00,3.83,15.78,0.43,76.29,27.81,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-29 00:00:00,1.1,3.59,0.78,83.31,21.76,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-30 00:00:00,2.16,6.73,0.43,80.96,21.62,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-03-31 00:00:00,1.92,6.89,0.68,80.26,22.5,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-01 00:00:00,5.2,20.46,0.58,68.91,20.23,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-02 00:00:00,9.03,31.52,0.58,66.43,20.42,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-03 00:00:00,3.48,13.88,0.61,89.4,20.24,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-04 00:00:00,5.08,19.84,0.37,85.99,19.01,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-05 00:00:00,1.83,7.63,0.58,79.91,25.72,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-06 00:00:00,9.49,31.3,0.76,86.44,19.87,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-07 00:00:00,9.19,28.27,0.74,80.8,20.38,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-08 00:00:00,9.65,30.01,0.69,77.78,19.39,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-09 00:00:00,7.54,24.48,0.38,80.54,23.85,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-10 00:00:00,4.72,19.13,0.7,78.77,20.38,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-11 00:00:00,9.59,31.05,0.77,72.72,19.4,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-12 00:00:00,4.25,13.24,0.75,83.34,27.47,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-13 00:00:00,1.15,4.15,0.52,88.62,19.99,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-14 00:00:00,5.31,18.77,0.59,66.38,23.7,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-15 00:00:00,4.46,13.78,0.71,61.31,23.04,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-16 00:00:00,7.64,25.33,0.46,83.18,24.63,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-17 00:00:00,1.64,8.19,0.36,65.02,24.95,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-18 00:00:00,1.7,8.35,0.57,74.37,19.15,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-19 00:00:00,6.29,22.21,0.77,61.05,22.11,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-20 00:00:00,7.31,25.13,0.58,86.32,19.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-21 00:00:00,4.22,16.34,0.5,62.48,27.33,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-22 00:00:00,4.81,17.8,0.5,66.68,22.57,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-23 00:00:00,5.8,17.79,0.76,69.54,26.47,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-24 00:00:00,2.22,9.07,0.37,77.04,23.84,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-25 00:00:00,5.87,19.56,0.49,73.97,24.51,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-26 00:00:00,2.18,11.43,0.41,71.95,20.92,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-27 00:00:00,9.07,28.22,0.5,79.97,21.63,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-28 00:00:00,3.02,10.97,0.7,61.47,26.08,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-29 00:00:00,5.79,19.83,0.65,75.12,23.27,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-04-30 00:00:00,0.51,5.79,0.37,75.0,26.69,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-01 00:00:00,2.84,11.96,0.58,88.14,26.77,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-02 00:00:00,0.96,6.57,0.75,66.46,20.38,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-03 00:00:00,4.18,17.05,0.65,77.74,18.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-04 00:00:00,4.71,18.99,0.47,67.12,19.39,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-05 00:00:00,2.58,8.79,0.69,83.64,23.01,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-06 00:00:00,2.53,11.99,0.36,82.72,18.07,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-07 00:00:00,6.62,21.09,0.48,64.15,24.11,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-08 00:00:00,2.77,9.44,0.48,70.74,25.08,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-09 00:00:00,3.42,12.48,0.76,81.64,25.37,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-10 00:00:00,3.79,11.61,0.53,73.69,19.95,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-11 00:00:00,6.49,22.66,0.72,63.59,21.92,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-12 00:00:00,1.76,6.62,0.57,69.15,27.42,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-13 00:00:00,3.81,15.95,0.72,67.56,26.64,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-14 00:00:00,4.82,15.08,0.35,89.68,20.72,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-15 00:00:00,0.04,4.86,0.32,68.95,18.87,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-16 00:00:00,3.84,16.02,0.42,71.69,25.15,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-17 00:00:00,8.34,28.29,0.32,64.14,24.5,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-18 00:00:00,1.29,4.45,0.69,80.5,23.61,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-19 00:00:00,1.79,6.13,0.67,76.8,18.27,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-20 00:00:00,5.45,17.73,0.51,77.54,27.34,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-21 00:00:00,2.96,10.08,0.33,85.81,26.72,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-22 00:00:00,6.91,25.19,0.64,70.38,22.51,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-23 00:00:00,3.43,14.07,0.69,89.54,25.86,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-24 00:00:00,4.97,15.72,0.74,70.8,25.09,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-25 00:00:00,1.86,5.84,0.51,75.95,19.7,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-26 00:00:00,3.35,11.64,0.45,71.6,22.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-27 00:00:00,9.5,30.37,0.46,79.37,24.64,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-28 00:00:00,0.96,7.63,0.79,80.41,18.86,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-29 00:00:00,5.73,19.84,0.54,66.47,26.53,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-30 00:00:00,1.96,8.3,0.64,88.24,26.96,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-05-31 00:00:00,0.44,2.34,0.43,70.26,21.14,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-01 00:00:00,1.13,3.6,0.2,54.0,18.03,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-02 00:00:00,0.41,1.39,0.18,54.08,20.5,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-03 00:00:00,0.71,2.95,0.0,69.77,15.32,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-04 00:00:00,0.57,1.95,0.01,52.15,17.5,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-05 00:00:00,0.02,1.03,0.2,44.48,16.35,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-06 00:00:00,0.74,2.73,0.12,54.73,18.82,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-07 00:00:00,0.1,0.74,0.28,67.65,21.81,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-08 00:00:00,1.35,4.18,0.23,44.41,20.17,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-09 00:00:00,1.04,3.38,0.27,44.77,19.69,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-10 00:00:00,0.88,3.14,0.23,64.79,16.63,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-11 00:00:00,1.74,5.67,0.15,55.05,20.12,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-12 00:00:00,0.73,2.74,0.28,60.5,15.36,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-13 00:00:00,1.89,6.29,0.15,62.25,20.05,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-14 00:00:00,0.32,1.06,0.2,61.52,19.77,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-15 00:00:00,1.65,5.74,0.06,64.2,18.42,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-16 00:00:00,1.06,3.24,0.05,69.96,20.47,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-17 00:00:00,0.08,1.19,0.18,66.53,18.62,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-18 00:00:00,0.52,2.41,0.06,55.22,20.31,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-19 00:00:00,0.48,1.76,0.22,69.58,21.15,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-20 00:00:00,0.61,2.02,0.2,63.68,15.49,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-21 00:00:00,0.45,1.64,0.22,56.99,24.45,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-22 00:00:00,1.06,3.27,0.19,64.99,19.74,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-23 00:00:00,0.26,1.19,0.09,52.24,16.95,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-24 00:00:00,1.42,4.42,0.28,44.21,22.76,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-25 00:00:00,1.04,3.21,0.12,57.15,22.49,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-26 00:00:00,0.57,1.78,0.03,44.86,20.39,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-27 00:00:00,1.61,5.79,0.2,48.59,15.24,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-28 00:00:00,1.34,4.36,0.05,70.0,15.11,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-29 00:00:00,1.8,5.67,0.26,68.29,16.76,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-06-30 00:00:00,1.53,5.4,0.24,58.53,20.66,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-01 00:00:00,0.51,2.02,0.21,57.22,18.82,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-02 00:00:00,0.69,2.52,0.12,49.6,15.36,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-03 00:00:00,1.93,6.22,0.28,61.06,21.55,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-04 00:00:00,0.73,2.89,0.27,54.38,22.17,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-05 00:00:00,0.19,1.39,0.08,53.32,22.35,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-06 00:00:00,1.71,5.77,0.16,50.37,18.79,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-07 00:00:00,0.44,1.54,0.13,49.54,16.29,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-08 00:00:00,0.27,1.59,0.02,69.09,20.07,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-09 00:00:00,0.37,1.6,0.25,61.51,19.3,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-10 00:00:00,1.62,5.73,0.14,59.71,19.5,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-11 00:00:00,0.86,3.49,0.21,48.07,22.76,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-12 00:00:00,0.06,0.86,0.27,40.18,17.87,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-13 00:00:00,1.15,3.72,0.21,63.77,24.97,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-14 00:00:00,1.65,5.13,0.27,67.39,19.7,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-15 00:00:00,0.9,2.87,0.14,68.05,18.91,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-16 00:00:00,0.77,3.03,0.18,52.17,18.28,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-17 00:00:00,0.55,1.95,0.18,60.97,19.77,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-18 00:00:00,1.6,5.76,0.27,53.62,22.67,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-19 00:00:00,0.91,3.6,0.09,49.11,16.69,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-20 00:00:00,0.57,1.8,0.03,41.29,22.06,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-21 00:00:00,0.57,1.72,0.02,41.63,16.49,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-22 00:00:00,0.85,3.44,0.09,52.93,24.62,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-23 00:00:00,0.61,1.9,0.22,57.15,15.18,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-24 00:00:00,0.71,2.33,0.18,44.68,17.44,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-25 00:00:00,1.77,5.74,0.25,62.01,24.44,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-26 00:00:00,1.07,3.54,0.27,60.37,17.8,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-27 00:00:00,1.57,4.85,0.28,54.04,17.29,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-28 00:00:00,1.68,5.18,0.22,44.46,21.82,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-29 00:00:00,0.81,3.23,0.26,65.29,20.64,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-30 00:00:00,1.96,6.78,0.1,47.39,19.64,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-07-31 00:00:00,0.94,3.09,0.24,40.71,20.27,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-01 00:00:00,1.67,5.1,0.03,56.64,23.7,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-02 00:00:00,1.92,6.1,0.23,68.2,20.72,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-03 00:00:00,0.57,2.46,0.11,57.81,23.02,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-04 00:00:00,1.09,4.12,0.19,44.35,15.57,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-05 00:00:00,1.48,5.06,0.09,56.02,21.66,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-06 00:00:00,0.49,2.37,0.28,53.94,16.49,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-07 00:00:00,0.42,1.94,0.26,55.07,21.19,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-08 00:00:00,0.61,2.84,0.16,55.99,23.3,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-09 00:00:00,0.27,0.97,0.09,62.38,22.97,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-10 00:00:00,0.7,2.56,0.03,59.49,19.13,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-11 00:00:00,0.57,2.38,0.22,69.05,18.91,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-12 00:00:00,1.68,5.46,0.22,63.92,20.28,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-13 00:00:00,0.27,1.73,0.25,40.42,15.9,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-14 00:00:00,0.89,3.1,0.06,68.94,22.09,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-15 00:00:00,1.4,4.77,0.08,49.49,19.06,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-16 00:00:00,0.17,0.77,0.02,50.63,20.84,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-17 00:00:00,0.86,3.41,0.23,69.46,23.33,-1.2687,36.8105,https://openweathermap.org/
Westlands,2020-08-18 00:00:00,1.18,4.27,0.06,46.85,20.72,-1.2687,36.8105,https://openweathermap.org/
