ward,date_time,rainfall_1h,rainfall_3h,precipitation_prob,humidity,temperature,latitude,longitude
Westlands,2020-02-08 00:00:00,1.41,4.9,0.29,42.96,18.87,-1.2687,36.8105
Westlands,2020-02-09 00:00:00,1.61,5.54,0.21,45.29,22.19,-1.2687,36.8105
Westlands,2020-02-10 00:00:00,0.14,1.3,0.2,44.59,18.29,-1.2687,36.8105
Westlands,2020-02-11 00:00:00,1.71,5.51,0.17,47.47,21.69,-1.2687,36.8105
Westlands,2020-02-12 00:00:00,1.08,3.25,0.1,45.59,20.03,-1.2687,36.8105
Westlands,2020-02-13 00:00:00,0.26,1.71,0.06,42.22,24.65,-1.2687,36.8105
Westlands,2020-02-14 00:00:00,1.88,6.47,0.14,63.57,16.2,-1.2687,36.8105
Westlands,2020-02-15 00:00:00,0.99,3.62,0.09,67.39,18.84,-1.2687,36.8105
Westlands,2020-02-16 00:00:00,1.62,5.42,0.1,68.16,22.57,-1.2687,36.8105
Westlands,2020-02-17 00:00:00,0.42,1.83,0.21,42.51,21.71,-1.2687,36.8105
Westlands,2020-02-18 00:00:00,1.95,6.64,0.28,51.77,20.14,-1.2687,36.8105
Westlands,2020-02-19 00:00:00,1.41,4.82,0.29,53.89,16.52,-1.2687,36.8105
Westlands,2020-02-20 00:00:00,1.06,3.84,0.25,50.24,18.52,-1.2687,36.8105
Westlands,2020-02-21 00:00:00,1.46,5.27,0.17,55.5,18.83,-1.2687,36.8105
Westlands,2020-02-22 00:00:00,1.23,4.62,0.15,67.63,22.42,-1.2687,36.8105
Westlands,2020-02-23 00:00:00,1.07,3.65,0.22,57.14,15.32,-1.2687,36.8105
Westlands,2020-02-24 00:00:00,0.18,1.03,0.1,41.37,21.3,-1.2687,36.8105
Westlands,2020-02-25 00:00:00,1.77,5.5,0.2,52.51,19.85,-1.2687,36.8105
Westlands,2020-02-26 00:00:00,1.28,4.44,0.18,61.59,17.17,-1.2687,36.8105
Westlands,2020-02-27 00:00:00,0.99,3.2,0.29,46.62,24.37,-1.2687,36.8105
Westlands,2020-02-28 00:00:00,0.74,3.12,0.26,43.01,23.07,-1.2687,36.8105
Westlands,2020-02-29 00:00:00,0.61,1.82,0.22,43.16,19.79,-1.2687,36.8105
Westlands,2020-03-01 00:00:00,4.78,15.57,0.32,83.3,19.67,-1.2687,36.8105
Westlands,2020-03-02 00:00:00,7.89,24.06,0.37,66.28,27.15,-1.2687,36.8105
Westlands,2020-03-03 00:00:00,5.07,15.47,0.45,87.77,20.39,-1.2687,36.8105
Westlands,2020-03-04 00:00:00,1.45,5.86,0.8,88.99,22.38,-1.2687,36.8105
Westlands,2020-03-05 00:00:00,3.62,14.91,0.51,88.6,25.42,-1.2687,36.8105
Westlands,2020-03-06 00:00:00,6.55,22.63,0.67,72.85,27.31,-1.2687,36.8105
Westlands,2020-03-07 00:00:00,7.43,24.25,0.79,66.9,26.33,-1.2687,36.8105
Westlands,2020-03-08 00:00:00,6.45,23.47,0.36,73.99,20.4,-1.2687,36.8105
Westlands,2020-03-09 00:00:00,9.3,29.75,0.32,84.01,18.87,-1.2687,36.8105
Westlands,2020-03-10 00:00:00,1.16,6.23,0.4,75.5,24.41,-1.2687,36.8105
Westlands,2020-03-11 00:00:00,9.92,31.96,0.59,66.67,24.12,-1.2687,36.8105
Westlands,2020-03-12 00:00:00,9.96,33.39,0.42,88.07,24.32,-1.2687,36.8105
Westlands,2020-03-13 00:00:00,7.16,23.09,0.37,65.18,20.22,-1.2687,36.8105
Westlands,2020-03-14 00:00:00,2.87,10.71,0.7,63.71,25.62,-1.2687,36.8105
Westlands,2020-03-15 00:00:00,0.97,4.85,0.66,63.27,24.66,-1.2687,36.8105
Westlands,2020-03-16 00:00:00,8.5,27.08,0.36,71.59,22.92,-1.2687,36.8105
Westlands,2020-03-17 00:00:00,9.61,32.24,0.3,89.82,21.24,-1.2687,36.8105
Westlands,2020-03-18 00:00:00,3.51,14.2,0.48,60.48,21.63,-1.2687,36.8105
Westlands,2020-03-19 00:00:00,6.22,23.22,0.73,70.74,19.19,-1.2687,36.8105
Westlands,2020-03-20 00:00:00,6.89,22.44,0.6,70.18,25.68,-1.2687,36.8105
Westlands,2020-03-21 00:00:00,5.97,22.46,0.71,69.01,27.65,-1.2687,36.8105
Westlands,2020-03-22 00:00:00,4.52,18.4,0.78,81.62,26.73,-1.2687,36.8105
Westlands,2020-03-23 00:00:00,4.92,15.31,0.32,69.06,21.65,-1.2687,36.8105
Westlands,2020-03-24 00:00:00,8.67,27.87,0.42,82.17,24.1,-1.2687,36.8105
Westlands,2020-03-25 00:00:00,4.75,17.13,0.33,87.75,22.87,-1.2687,36.8105
Westlands,2020-03-26 00:00:00,6.47,20.75,0.71,80.5,27.34,-1.2687,36.8105
Westlands,2020-03-27 00:00:00,5.81,21.99,0.57,72.94,18.45,-1.2687,36.8105
Westlands,2020-03-28 00:00:00,4.12,13.3,0.48,76.94,21.62,-1.2687,36.8105
Westlands,2020-03-29 00:00:00,9.1,31.03,0.79,70.13,20.29,-1.2687,36.8105
Westlands,2020-03-30 00:00:00,1.85,8.68,0.33,74.16,27.28,-1.2687,36.8105
Westlands,2020-03-31 00:00:00,6.82,22.12,0.36,87.22,21.09,-1.2687,36.8105
Westlands,2020-04-01 00:00:00,0.1,0.77,0.52,60.01,21.34,-1.2687,36.8105
Westlands,2020-04-02 00:00:00,1.12,7.72,0.43,73.13,27.77,-1.2687,36.8105
Westlands,2020-04-03 00:00:00,9.41,33.01,0.74,60.92,21.62,-1.2687,36.8105
Westlands,2020-04-04 00:00:00,4.39,13.97,0.77,63.86,27.75,-1.2687,36.8105
Westlands,2020-04-05 00:00:00,2.99,10.45,0.33,64.28,26.85,-1.2687,36.8105
Westlands,2020-04-06 00:00:00,8.61,29.19,0.67,67.22,22.42,-1.2687,36.8105
Westlands,2020-04-07 00:00:00,8.16,28.43,0.4,64.34,24.96,-1.2687,36.8105
Westlands,2020-04-08 00:00:00,8.84,28.58,0.65,85.46,19.4,-1.2687,36.8105
Westlands,2020-04-09 00:00:00,9.36,28.41,0.51,74.5,24.16,-1.2687,36.8105
Westlands,2020-04-10 00:00:00,9.84,31.02,0.69,86.8,20.13,-1.2687,36.8105
Westlands,2020-04-11 00:00:00,9.18,27.72,0.39,62.29,18.08,-1.2687,36.8105
Westlands,2020-04-12 00:00:00,8.09,28.58,0.64,73.12,18.98,-1.2687,36.8105
Westlands,2020-04-13 00:00:00,5.31,18.01,0.32,80.07,22.89,-1.2687,36.8105
Westlands,2020-04-14 00:00:00,2.36,10.07,0.35,63.77,24.49,-1.2687,36.8105
Westlands,2020-04-15 00:00:00,2.3,9.13,0.45,61.3,18.23,-1.2687,36.8105
Westlands,2020-04-16 00:00:00,3.79,15.34,0.51,81.89,22.72,-1.2687,36.8105
Westlands,2020-04-17 00:00:00,8.03,26.94,0.47,77.68,22.75,-1.2687,36.8105
Westlands,2020-04-18 00:00:00,1.83,7.66,0.6,75.75,24.32,-1.2687,36.8105
Westlands,2020-04-19 00:00:00,0.56,2.08,0.39,85.71,22.97,-1.2687,36.8105
Westlands,2020-04-20 00:00:00,2.25,10.15,0.39,69.41,18.08,-1.2687,36.8105
Westlands,2020-04-21 00:00:00,7.84,25.56,0.53,76.83,20.84,-1.2687,36.8105
Westlands,2020-04-22 00:00:00,6.44,20.95,0.34,89.06,25.97,-1.2687,36.8105
Westlands,2020-04-23 00:00:00,3.12,11.7,0.55,85.69,25.24,-1.2687,36.8105
Westlands,2020-04-24 00:00:00,3.66,13.24,0.44,83.43,25.1,-1.2687,36.8105
Westlands,2020-04-25 00:00:00,5.99,18.29,0.78,64.3,24.25,-1.2687,36.8105
Westlands,2020-04-26 00:00:00,3.13,12.56,0.61,77.04,20.02,-1.2687,36.8105
Westlands,2020-04-27 00:00:00,6.02,18.96,0.78,87.86,18.6,-1.2687,36.8105
Westlands,2020-04-28 00:00:00,5.1,17.1,0.7,88.95,19.83,-1.2687,36.8105
Westlands,2020-04-29 00:00:00,6.24,20.89,0.65,87.18,24.92,-1.2687,36.8105
Westlands,2020-04-30 00:00:00,7.66,27.1,0.76,78.66,19.93,-1.2687,36.8105
Westlands,2020-05-01 00:00:00,6.47,23.09,0.35,87.85,19.1,-1.2687,36.8105
Westlands,2020-05-02 00:00:00,4.89,18.34,0.67,84.27,20.95,-1.2687,36.8105
Westlands,2020-05-03 00:00:00,6.58,22.66,0.75,62.11,22.37,-1.2687,36.8105
Westlands,2020-05-04 00:00:00,7.23,25,0.58,68.53,18.54,-1.2687,36.8105
Westlands,2020-05-05 00:00:00,0.88,5.76,0.39,78.81,20.26,-1.2687,36.8105
Westlands,2020-05-06 00:00:00,1,6.32,0.45,85.03,23.45,-1.2687,36.8105
Westlands,2020-05-07 00:00:00,6.76,21.59,0.55,85.27,24.76,-1.2687,36.8105
Westlands,2020-05-08 00:00:00,6.71,23.03,0.35,71.01,24.27,-1.2687,36.8105
Westlands,2020-05-09 00:00:00,4.9,15.56,0.34,65.26,21.83,-1.2687,36.8105
Westlands,2020-05-10 00:00:00,6.22,20.23,0.77,86.9,26.68,-1.2687,36.8105
Westlands,2020-05-11 00:00:00,7.02,22.47,0.36,68.81,27.64,-1.2687,36.8105
Westlands,2020-05-12 00:00:00,6.01,20.95,0.52,60.74,23.77,-1.2687,36.8105
Westlands,2020-05-13 00:00:00,5.1,19.08,0.43,62.09,27.35,-1.2687,36.8105
Westlands,2020-05-14 00:00:00,7.74,25.74,0.75,64.59,19.15,-1.2687,36.8105
Westlands,2020-05-15 00:00:00,9.48,28.68,0.67,67,22.59,-1.2687,36.8105
Westlands,2020-05-16 00:00:00,7.36,26.64,0.39,66.58,24.85,-1.2687,36.8105
Westlands,2020-05-17 00:00:00,5.45,16.75,0.64,61.35,26.63,-1.2687,36.8105
Westlands,2020-05-18 00:00:00,8.02,27.36,0.79,62.14,25.98,-1.2687,36.8105
Westlands,2020-05-19 00:00:00,8.79,30.96,0.38,89.2,18.69,-1.2687,36.8105
Westlands,2020-05-20 00:00:00,3.07,13.33,0.36,78.94,24.18,-1.2687,36.8105
Westlands,2020-05-21 00:00:00,2.86,8.88,0.46,81.05,19.42,-1.2687,36.8105
Westlands,2020-05-22 00:00:00,8.21,26,0.6,63.31,25.93,-1.2687,36.8105
Westlands,2020-05-23 00:00:00,7.25,21.95,0.75,62.07,21.24,-1.2687,36.8105
Westlands,2020-05-24 00:00:00,7.43,23.52,0.56,67.29,18.48,-1.2687,36.8105
Westlands,2020-05-25 00:00:00,3.31,14.22,0.61,85.96,22.12,-1.2687,36.8105
Westlands,2020-05-26 00:00:00,5.99,20.42,0.49,82.44,22.71,-1.2687,36.8105
Westlands,2020-05-27 00:00:00,2.06,10.73,0.56,72.84,19.29,-1.2687,36.8105
Westlands,2020-05-28 00:00:00,9.35,31.01,0.71,68.66,22.81,-1.2687,36.8105
Westlands,2020-05-29 00:00:00,9.67,32.82,0.47,89.98,19.62,-1.2687,36.8105
Westlands,2020-05-30 00:00:00,9.53,29.03,0.66,78.53,25.18,-1.2687,36.8105
Westlands,2020-05-31 00:00:00,2.4,9.42,0.53,89.89,26.74,-1.2687,36.8105
Westlands,2020-06-01 00:00:00,0.45,2.02,0.19,59.13,15.95,-1.2687,36.8105
Westlands,2020-06-02 00:00:00,1.88,6.63,0.05,61.44,20.02,-1.2687,36.8105
Westlands,2020-06-03 00:00:00,0.58,2.17,0.3,43.62,18.86,-1.2687,36.8105
Westlands,2020-06-04 00:00:00,0.2,1.01,0.18,56.81,24.78,-1.2687,36.8105
Westlands,2020-06-05 00:00:00,0.46,1.74,0.07,44.48,23.32,-1.2687,36.8105
Westlands,2020-06-06 00:00:00,1.84,6.09,0.29,48.02,21.24,-1.2687,36.8105
Westlands,2020-06-07 00:00:00,0.56,2.04,0.02,46.43,15.12,-1.2687,36.8105
Westlands,2020-06-08 00:00:00,1.08,4.04,0.16,64.95,20,-1.2687,36.8105
Westlands,2020-06-09 00:00:00,1.35,4.67,0.08,54.82,24.46,-1.2687,36.8105
Westlands,2020-06-10 00:00:00,1.93,6.59,0.1,61.54,15.41,-1.2687,36.8105
Westlands,2020-06-11 00:00:00,0.9,2.73,0.15,60.82,15.1,-1.2687,36.8105
Westlands,2020-06-12 00:00:00,1.47,4.77,0.14,65.92,20.44,-1.2687,36.8105
Westlands,2020-06-13 00:00:00,0.44,1.65,0.18,64.22,23.3,-1.2687,36.8105
Westlands,2020-06-14 00:00:00,1.85,6.23,0.28,53.56,16.82,-1.2687,36.8105
Westlands,2020-06-15 00:00:00,1.24,3.77,0.01,53.41,18.62,-1.2687,36.8105
Westlands,2020-06-16 00:00:00,1.94,6.29,0.28,62.81,16.34,-1.2687,36.8105
Westlands,2020-06-17 00:00:00,1.53,4.61,0.08,64.11,22.65,-1.2687,36.8105
Westlands,2020-06-18 00:00:00,0.53,1.71,0.03,56.15,18.33,-1.2687,36.8105
Westlands,2020-06-19 00:00:00,0.13,1.28,0.24,54.59,22.3,-1.2687,36.8105
Westlands,2020-06-20 00:00:00,1.52,4.97,0.2,64.59,16.99,-1.2687,36.8105
Westlands,2020-06-21 00:00:00,0.32,1.68,0.12,67.22,19.47,-1.2687,36.8105
Westlands,2020-06-22 00:00:00,0.34,1.75,0.15,60.62,22.43,-1.2687,36.8105
Westlands,2020-06-23 00:00:00,1.39,5.06,0.25,59.5,21.54,-1.2687,36.8105
Westlands,2020-06-24 00:00:00,0.06,0.32,0.04,64.13,18.54,-1.2687,36.8105
Westlands,2020-06-25 00:00:00,1.66,5.34,0.1,56.21,24.63,-1.2687,36.8105
Westlands,2020-06-26 00:00:00,1.06,3.58,0.12,69.74,18.17,-1.2687,36.8105
Westlands,2020-06-27 00:00:00,0.54,2.13,0.07,68.21,18.1,-1.2687,36.8105
Westlands,2020-06-28 00:00:00,1.47,5.1,0.06,41.16,21.35,-1.2687,36.8105
Westlands,2020-06-29 00:00:00,1.14,4.07,0.15,62.15,22.34,-1.2687,36.8105
Westlands,2020-06-30 00:00:00,0.73,2.52,0.09,43.05,16.02,-1.2687,36.8105
Westlands,2020-07-01 00:00:00,1.5,5.48,0.24,43.6,16.51,-1.2687,36.8105
Westlands,2020-07-02 00:00:00,1.53,5.44,0.21,61.11,24.84,-1.2687,36.8105
Westlands,2020-07-03 00:00:00,1.37,5.04,0.01,54.02,20.8,-1.2687,36.8105
Westlands,2020-07-04 00:00:00,0.69,2.33,0.21,62.91,18.65,-1.2687,36.8105
Westlands,2020-07-05 00:00:00,0.28,0.83,0.24,56.57,22.47,-1.2687,36.8105
Westlands,2020-07-06 00:00:00,0.67,2.27,0.22,54.8,17.13,-1.2687,36.8105
Westlands,2020-07-07 00:00:00,1.93,6.01,0.18,63.38,16.08,-1.2687,36.8105
Westlands,2020-07-08 00:00:00,0.7,2.92,0.26,41.42,19.75,-1.2687,36.8105
Westlands,2020-07-09 00:00:00,0.4,2.15,0.18,52.27,17.24,-1.2687,36.8105
Westlands,2020-07-10 00:00:00,1.01,3.08,0.04,64.74,21.57,-1.2687,36.8105
Westlands,2020-07-11 00:00:00,1.55,5.54,0.27,69.83,15.18,-1.2687,36.8105
Westlands,2020-07-12 00:00:00,1.36,4.69,0.21,53.64,21.89,-1.2687,36.8105
Westlands,2020-07-13 00:00:00,1.46,4.75,0.14,48.46,15.59,-1.2687,36.8105
Westlands,2020-07-14 00:00:00,1.8,5.69,0.11,65.62,21.29,-1.2687,36.8105
Westlands,2020-07-15 00:00:00,1.33,4.81,0.2,46.12,20.98,-1.2687,36.8105
Westlands,2020-07-16 00:00:00,0.18,0.59,0.25,66.37,20.64,-1.2687,36.8105
Westlands,2020-07-17 00:00:00,1.21,4.46,0.28,68.11,17.6,-1.2687,36.8105
Westlands,2020-07-18 00:00:00,1.71,5.15,0.21,51.44,19.34,-1.2687,36.8105
Westlands,2020-07-19 00:00:00,1.55,5.19,0.02,45.92,19.22,-1.2687,36.8105
Westlands,2020-07-20 00:00:00,1.7,5.9,0.03,46.4,18.38,-1.2687,36.8105
Westlands,2020-07-21 00:00:00,0.53,1.7,0.03,60.99,24.74,-1.2687,36.8105
Westlands,2020-07-22 00:00:00,1.5,4.94,0.08,63.69,20.98,-1.2687,36.8105
Westlands,2020-07-23 00:00:00,0.77,2.86,0.27,51.94,18.39,-1.2687,36.8105
Westlands,2020-07-24 00:00:00,0.72,2.2,0.3,56.25,19.32,-1.2687,36.8105
Westlands,2020-07-25 00:00:00,1.75,6.25,0.2,69.17,23.9,-1.2687,36.8105
Westlands,2020-07-26 00:00:00,1.23,4.55,0.06,63.88,24.21,-1.2687,36.8105
Westlands,2020-07-27 00:00:00,1.14,3.68,0.12,51.96,20.93,-1.2687,36.8105
Westlands,2020-07-28 00:00:00,1.55,5.23,0.14,54.61,22.75,-1.2687,36.8105
Westlands,2020-07-29 00:00:00,1.23,4.47,0.29,62.74,18.4,-1.2687,36.8105
Westlands,2020-07-30 00:00:00,0.84,3.49,0.25,50.53,19.68,-1.2687,36.8105
Westlands,2020-07-31 00:00:00,1.56,5.41,0.01,63.99,15.8,-1.2687,36.8105
Westlands,2020-08-01 00:00:00,1.48,5.35,0.18,42.67,18.88,-1.2687,36.8105
Westlands,2020-08-02 00:00:00,1.85,6.07,0.09,66.46,23.27,-1.2687,36.8105
Westlands,2020-08-03 00:00:00,1.3,4.64,0.16,47.01,23.9,-1.2687,36.8105
Westlands,2020-08-04 00:00:00,1.04,3.93,0.2,55.6,16.49,-1.2687,36.8105
Westlands,2020-08-05 00:00:00,0.37,1.52,0.21,68.69,21.34,-1.2687,36.8105
Westlands,2020-08-06 00:00:00,1.95,6.39,0.07,45.31,23.05,-1.2687,36.8105
Westlands,2020-08-07 00:00:00,1.78,5.38,0.11,59.84,17.74,-1.2687,36.8105
Westlands,2020-08-08 00:00:00,0.02,0.3,0.27,68.15,18.09,-1.2687,36.8105
Westlands,2020-08-09 00:00:00,0.63,2.68,0.01,48.32,21.78,-1.2687,36.8105
Westlands,2020-08-10 00:00:00,0.57,2.41,0.11,68.82,22.8,-1.2687,36.8105
Westlands,2020-08-11 00:00:00,0.64,2.53,0.28,68.29,23.3,-1.2687,36.8105
Westlands,2020-08-12 00:00:00,1.81,5.84,0.21,66.64,16.97,-1.2687,36.8105
Westlands,2020-08-13 00:00:00,0.61,2.27,0.12,57.8,16.17,-1.2687,36.8105
Westlands,2020-08-14 00:00:00,1.44,5.29,0.06,54.64,18.59,-1.2687,36.8105
Westlands,2020-08-15 00:00:00,1.65,5.94,0.05,43.43,19.19,-1.2687,36.8105
Westlands,2020-08-16 00:00:00,1.43,4.44,0.29,42.24,16.62,-1.2687,36.8105
Westlands,2020-08-17 00:00:00,1.99,6.55,0.22,65.72,19.59,-1.2687,36.8105
Westlands,2020-08-18 00:00:00,1.1,3.4,0.18,69.25,15.69,-1.2687,36.8105
Westlands,2020-08-19 00:00:00,1.09,4.11,0.16,49.37,17.52,-1.2687,36.8105
Westlands,2020-08-20 00:00:00,1.52,4.57,0.21,46.09,19.69,-1.2687,36.8105
Westlands,2020-08-21 00:00:00,1.48,5.07,0.03,67.71,16.9,-1.2687,36.8105
Westlands,2020-08-22 00:00:00,1.84,6.43,0.16,53.39,16.08,-1.2687,36.8105
Westlands,2020-08-23 00:00:00,0.5,2.37,0.04,50.48,22.9,-1.2687,36.8105
Westlands,2020-08-24 00:00:00,1.55,5.02,0.09,59,17.75,-1.2687,36.8105
Westlands,2020-08-25 00:00:00,1.24,4.21,0.13,56.53,17.7,-1.2687,36.8105
Westlands,2020-08-26 00:00:00,0.53,2.33,0.2,62.37,23.31,-1.2687,36.8105
Westlands,2020-08-27 00:00:00,0.71,2.73,0.08,57.25,15.87,-1.2687,36.8105
Westlands,2020-08-28 00:00:00,1.49,5.44,0.22,60.85,17.13,-1.2687,36.8105
Westlands,2020-08-29 00:00:00,1.36,4.75,0.15,67.79,22.68,-1.2687,36.8105
Westlands,2020-08-30 00:00:00,0.67,2.48,0.24,49.98,23.63,-1.2687,36.8105
Westlands,2020-08-31 00:00:00,1.94,6.75,0.1,41.39,16,-1.2687,36.8105
Westlands,2020-09-01 00:00:00,0.99,3,0.06,43.51,18.08,-1.2687,36.8105
Westlands,2020-09-02 00:00:00,1.98,6.03,0.3,56.26,15.9,-1.2687,36.8105
Westlands,2020-09-03 00:00:00,2,6.01,0.02,64.33,19.53,-1.2687,36.8105
Westlands,2020-09-04 00:00:00,0.44,2.26,0.09,67.72,19.36,-1.2687,36.8105
Westlands,2020-09-05 00:00:00,1.43,4.56,0.09,50.28,24.88,-1.2687,36.8105
Westlands,2020-09-06 00:00:00,0.49,2.04,0.06,49.89,24.88,-1.2687,36.8105
Westlands,2020-09-07 00:00:00,0.55,1.9,0.18,58.89,21.7,-1.2687,36.8105
Westlands,2020-09-08 00:00:00,0.17,1.33,0.08,43.17,24.58,-1.2687,36.8105
Westlands,2020-09-09 00:00:00,1.25,4.46,0.2,65.74,22.92,-1.2687,36.8105
Westlands,2020-09-10 00:00:00,0.16,0.75,0.27,48.77,23.38,-1.2687,36.8105
Westlands,2020-09-11 00:00:00,0.23,0.99,0.06,60.81,15.84,-1.2687,36.8105
Westlands,2020-09-12 00:00:00,1.88,5.75,0.26,68.22,18.67,-1.2687,36.8105
Westlands,2020-09-13 00:00:00,0.62,2.14,0.3,67.98,16.8,-1.2687,36.8105
Westlands,2020-09-14 00:00:00,0.23,1.45,0.25,66.46,15.17,-1.2687,36.8105
Westlands,2020-09-15 00:00:00,0.89,3.06,0.15,65.91,21.89,-1.2687,36.8105
Westlands,2020-09-16 00:00:00,0.95,3.83,0.22,66.14,20.9,-1.2687,36.8105
Westlands,2020-09-17 00:00:00,0.55,1.72,0.2,42.1,19.83,-1.2687,36.8105
Westlands,2020-09-18 00:00:00,1.29,4.55,0.22,65.19,21.86,-1.2687,36.8105
Westlands,2020-09-19 00:00:00,0.89,2.75,0.03,46.64,20.76,-1.2687,36.8105
Westlands,2020-09-20 00:00:00,1.16,3.69,0.29,53.78,21.54,-1.2687,36.8105
Westlands,2020-09-21 00:00:00,1.45,4.54,0.3,50.18,19.4,-1.2687,36.8105
Westlands,2020-09-22 00:00:00,0.69,2.95,0.04,64.48,18.06,-1.2687,36.8105
Westlands,2020-09-23 00:00:00,0.02,0.33,0.24,50.44,17.21,-1.2687,36.8105
Westlands,2020-09-24 00:00:00,0.91,3.31,0.02,44.23,18.35,-1.2687,36.8105
Westlands,2020-09-25 00:00:00,1.42,4.88,0.15,56.22,23.67,-1.2687,36.8105
Westlands,2020-09-26 00:00:00,1.47,5.03,0.04,68.37,18.34,-1.2687,36.8105
Westlands,2020-09-27 00:00:00,0.83,3.33,0.05,40.72,18.48,-1.2687,36.8105
Westlands,2020-09-28 00:00:00,1.23,4.21,0.25,58.22,20.83,-1.2687,36.8105
Westlands,2020-09-29 00:00:00,1.46,4.52,0.27,68.01,16.04,-1.2687,36.8105
Westlands,2020-09-30 00:00:00,0.52,2.33,0.27,66.6,16.43,-1.2687,36.8105
Westlands,2020-10-01 00:00:00,6.94,21.19,0.46,79.17,20.32,-1.2687,36.8105
Westlands,2020-10-02 00:00:00,9.63,30.26,0.46,70.59,18.94,-1.2687,36.8105
Westlands,2020-10-03 00:00:00,7.78,26.22,0.79,65.21,27.35,-1.2687,36.8105
Westlands,2020-10-04 00:00:00,6.95,21.96,0.77,73.02,24.45,-1.2687,36.8105
Westlands,2020-10-05 00:00:00,3.06,12.54,0.59,70.05,24.53,-1.2687,36.8105
Westlands,2020-10-06 00:00:00,1.62,8.77,0.79,76.85,21.59,-1.2687,36.8105
Westlands,2020-10-07 00:00:00,3.06,13.92,0.72,62.75,26.73,-1.2687,36.8105
Westlands,2020-10-08 00:00:00,2.18,7.35,0.5,72.67,18.35,-1.2687,36.8105
Westlands,2020-10-09 00:00:00,1.66,7.55,0.68,65.23,18.84,-1.2687,36.8105
Westlands,2020-10-10 00:00:00,2.59,10.65,0.77,70.42,18.78,-1.2687,36.8105
